
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
3.19253564e-01, -2.74356194e-02, 1.00000000e+00, 3.19253564e-01, -2.74356194e-02
3.30668956e-01, -2.72854622e-02, 0.00000000e+00, 3.30668956e-01, -2.72854622e-02
3.30668956e-01, -2.72854622e-02, 1.00000000e+00, 3.30668956e-01, -2.72854622e-02
3.42048019e-01, -2.71138661e-02, 0.00000000e+00, 3.42048019e-01, -2.71138661e-02
3.42048019e-01, -2.71138661e-02, 1.00000000e+00, 3.42048019e-01, -2.71138661e-02
3.53391051e-01, -2.69296747e-02, 0.00000000e+00, 3.53391051e-01, -2.69296747e-02
3.53391051e-01, -2.69296747e-02, 1.00000000e+00, 3.53391051e-01, -2.69296747e-02
3.64698291e-01, -2.67236885e-02, 0.00000000e+00, 3.64698291e-01, -2.67236885e-02
3.64698291e-01, -2.67236885e-02, 1.00000000e+00, 3.64698291e-01, -2.67236885e-02
3.75969410e-01, -2.64953393e-02, 0.00000000e+00, 3.75969410e-01, -2.64953393e-02
3.75969410e-01, -2.64953393e-02, 1.00000000e+00, 3.75969410e-01, -2.64953393e-02
3.87204945e-01, -2.62562279e-02, 0.00000000e+00, 3.87204945e-01, -2.62562279e-02
